_1,_2,_3,_4
RandomVertexCut$,1.603483696E9,1959368.9000000954,6.116002752E8
CanonicalRandomVertexCut$,1.6288663424E9,1943483.6999998093,5.68785776E8
EdgePartition1D$,1.5742316632E9,2222258.5,5.583006192E8
EdgePartition2D$,1.2396748232E9,2024502.399999857,5.517973168E8
