partitionStrategy,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime),avg(totalExecutionTime),avg(driverTotalMemory),avg(driverMemoryFree),avg(driverMemoryUsed),avg(totalSparkExecutorMemoryAllocated),avg(totalSparkExecutorMemoryFree),avg(totalSparkExecutorMemoryUsed),avg(totalRDDMemorySize),avg(totalRDDDiskSize),avg(totalMemoryUsed),avg(driverMemoryUsedMB),avg(totalSparkExecutorMemoryUsedMB),avg(totalRDDMemorySizeMB),avg(totalRDDDiskSizeMB),avg(totalMemoryUsedMB)
CanonicalRandomVertexCut$,4780.5,8.0,7194.4,1952.9,13950.8,1.6791371776E9,1.1103514016E9,5.68785776E8,8.4235989807E10,8.26051799809E10,1.6308098261E9,1.6288663424E9,0.0,2.1996035797E9,542.0,1554.8,1552.9,0.0,2097.5
EdgePartition1D$,5053.2,8.0,8217.5,2094.6,15386.9,1.6817061888E9,1.1234055696E9,5.583006192E8,8.16003730596E10,8.00239191379E10,1.5764539217E9,1.5742316632E9,0.0,2.1347654385E9,531.8,1502.9,1500.8,0.0,2035.6
EdgePartition2D$,4780.5,7.9,6319.2,1346.5,12468.8,1.6807624704E9,1.1289651536E9,5.517973168E8,8.33574508912E10,8.21157515656E10,1.2416993256E9,1.2396748232E9,0.0,1.7935073808E9,525.6,1183.7,1181.7,0.0,1710.0
RandomVertexCut$,5214.2,10.0,8212.6,2070.6,15525.8,1.6797663232E9,1.068166048E9,6.116002752E8,7.9843295228E10,7.82378521631E10,1.6054430649E9,1.603483696E9,0.0,2.2174006697E9,583.1,1530.7,1528.8,0.0,2114.2
