graphSize,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime)
sf0_003,4600.0,11.0,1859.0,512.0
sf0_1,3991.0,10.0,2299.0,614.0
sf0_3,4691.0,9.0,9695.0,2638.0
sf1,4230.0,9.0,69596.0,15135.0
sf3,10174.0,8.0,700930.0,36501.0
