graphSize,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime),avg(totalExecutionTime),avg(driverTotalMemory),avg(driverMemoryFree),avg(driverMemoryUsed),avg(totalSparkExecutorMemoryAllocated),avg(totalSparkExecutorMemoryFree),avg(totalSparkExecutorMemoryUsed),avg(totalRDDMemorySize),avg(totalRDDDiskSize),avg(totalMemoryUsed),avg(driverMemoryUsedMB),avg(totalSparkExecutorMemoryUsedMB),avg(totalRDDMemorySizeMB),avg(totalRDDDiskSizeMB),avg(totalMemoryUsedMB)
sf0_003,4600.0,11.0,1859.0,512.0,7062.0,1.581776896E9,1.078187232E9,5.03589664E8,2.2697056664E10,2.2695275736E10,1780928.0,758704.0,0.0,5.05370592E8,480.0,1.0,0.0,0.0,481.0
sf0_1,3991.0,10.0,2299.0,614.0,6929.0,1.577058304E9,1.250846528E9,3.26211776E8,2.7089751243E10,2.7012572176E10,7.7179067E7,7.627004E7,0.0,4.03390843E8,311.0,73.0,72.0,0.0,384.0
sf0_3,4691.0,9.0,9695.0,2638.0,17049.0,1.59645696E9,1.27393248E9,3.2252448E8,2.7089751243E10,2.6564237196E10,5.25514047E8,5.24537336E8,0.0,8.48038527E8,307.0,501.0,500.0,0.0,808.0
sf1,4230.0,9.0,69596.0,15135.0,89011.0,1.538260992E9,1.216433096E9,3.21827896E8,3.5875140401E10,2.9453306765E10,6.421833636E9,6.420547544E9,0.0,6.743680572E9,306.0,6124.0,6123.0,0.0,6431.0
sf3,10174.0,8.0,700930.0,36501.0,747729.0,1.53878528E9,1.191419872E9,3.47365408E8,1.32514421139E11,1.18959785391E11,1.3554635748E10,1.355354956E10,0.0,1.3902001156E10,331.0,12926.0,12925.0,0.0,13257.0
