runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SerialQueryExecutor,RandomVertexCut$,0,0,0,0,350071,1634205696,355214776,1278990920,36648989489,36494019020,154970469,154254024,0,1433963485,1219,147,147,0,1367
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SerialQueryExecutor,RandomVertexCut$,0,0,0,0,208280,1548222464,285505456,1262717008,45623122327,45468009897,155112430,154254024,0,1417831542,1204,147,147,0,1352
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SerialQueryExecutor,RandomVertexCut$,0,0,0,0,286148,1519910912,225691768,1294219144,45623122327,45467940175,155182152,154254024,0,1449405464,1234,147,147,0,1382
