_1,_2,_3,_4
RandomVertexCut,6.4036306424E9,1263157.3000001907,5.31051372E8
CanonicalRandomVertexCut,6.403608824E9,1307864.3999996185,5.030096096E8
EdgePartition1D,6.5119244688E9,1320448.6999998093,5.379740192E8
EdgePartition2D,3.8140665712E9,1068214.3000001907,5.613073256E8
