topK,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime),avg(totalExecutionTime),avg(driverTotalMemory),avg(driverMemoryFree),avg(driverMemoryUsed),avg(totalSparkExecutorMemoryAllocated),avg(totalSparkExecutorMemoryFree),avg(totalSparkExecutorMemoryUsed),avg(totalRDDMemorySize),avg(totalRDDDiskSize),avg(totalMemoryUsed),avg(driverMemoryUsedMB),avg(totalSparkExecutorMemoryUsedMB),avg(totalRDDMemorySizeMB),avg(totalRDDDiskSizeMB),avg(totalMemoryUsedMB)
1,5751.1,11.8,8069.7,1833.6,15697.5,1.600913408E9,1.1534290048E9,4.474844032E8,6.92533277454E10,6.80699457031E10,1.1833820423E9,1.1817436128E9,0.0,1.6308762639E9,426.0,1128.1,1126.4,0.0,1554.9
5,5203.2,8.2,7024.9,1781.8,14030.1,1.6963862528E9,1.0901364528E9,6.062498E8,7.9795794735E10,7.83751162088E10,1.4206785262E9,1.4188427696E9,0.0,2.0269364142E9,577.7,1354.4,1352.6,0.0,1932.8
10,5106.9,9.0,9751.3,2597.0,17477.5,1.7081827328E9,1.173047424E9,5.351353088E8,7.9795794735E10,7.81920562926E10,1.6037384424E9,1.6017839584E9,0.0,2.138880908E9,509.8,1529.0,1526.9,0.0,2039.1
25,4739.1,8.7,10741.9,3009.7,18515.0,1.7075535872E9,1.1459296768E9,5.616239104E8,7.9795794735E10,7.77526625461E10,2.0431321889E9,2.041209992E9,0.0,2.6047622513E9,535.1,1948.0,1946.1,0.0,2483.6
50,5063.4,9.2,17486.2,4946.0,27516.9,1.707343872E9,1.1489668672E9,5.583770048E8,7.9795794735E10,7.72509926135E10,2.5448021215E9,2.5428692648E9,0.0,3.1031846423E9,532.0,2426.3,2424.5,0.0,2958.9
100,4835.9,9.1,20334.5,6724.7,31917.9,1.7046700032E9,1.1569041184E9,5.477658848E8,7.9795794735E10,7.6607136381E10,3.188658354E9,3.1866487048E9,0.0,3.7364301596E9,521.8,3040.5,3038.3,0.0,3563.1
