graphSize,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime),avg(totalExecutionTime),avg(driverTotalMemory),avg(driverMemoryFree),avg(driverMemoryUsed),avg(totalSparkExecutorMemoryAllocated),avg(totalSparkExecutorMemoryFree),avg(totalSparkExecutorMemoryUsed),avg(totalRDDMemorySize),avg(totalRDDDiskSize),avg(totalMemoryUsed),avg(driverMemoryUsedMB),avg(totalSparkExecutorMemoryUsedMB),avg(totalRDDMemorySizeMB),avg(totalRDDDiskSizeMB),avg(totalMemoryUsedMB)
sf0_003,2987.4,9.3,1009.6,331.1,4353.5,1.6817061888E9,1.1447633968E9,5.36942792E8,1.211295911056E11,1.211280057875E11,1585318.1,772748.0,0.0,5.385520861E8,511.6,1.0,0.0,0.0,512.9
sf0_1,3379.8,10.7,1601.2,449.5,5476.3,1.6820207616E9,1.105852524E9,5.761682376E8,1.092693157423E11,1.086018453348E11,6.674704075E8,7.3508972E7,0.0,1.2436512723E9,549.0,635.9,69.4,0.0,1187.0
sf0_3,4187.9,10.7,7074.5,1890.7,13184.3,1.6864772096E9,1.174787496E9,5.116893024E8,1.06194429537E11,1.056603070105E11,5.341225265E8,5.32914788E8,0.0,1.0458208385E9,487.4,509.0,507.7,0.0,997.1
sf1,4788.7,10.2,60534.8,14908.6,80423.5,1.677459456E9,1.137387876E9,5.4007158E8,1.035588127896E11,9.71398956141E10,6.4189171755E9,6.4170847992E9,0.0,6.9589990787E9,514.5,6121.0,6119.2,0.0,6636.1
sf3,6886.7,11.2,1229335.5,31409.9,1267890.1,1.6855334912E9,1.2088067056E9,4.767267856E8,1.365040221321E11,1.227570551671E11,1.3746966965E10,1.4770795736E10,0.0,1.42237047786E10,454.2,13109.6,14086.1,0.0,13564.2
