_1,_2
1,5874609144
1,6154029985
1,6298825102
1,6018864652
1,5988662712
1,5941748030
10,6800776001
10,7142561239
10,6986369111
10,6988716218
10,7197575108
10,7131851678
100,8047501033
100,8132125021
100,8132302839
100,8040162995
100,8010036808
100,8105149298
100,8269992424
25,7205576452
25,7471248893
25,7610056221
25,7332058619
25,7321425353
25,7290657771
5,6454350443
5,6866936091
5,6781068358
5,6620995409
5,6661650838
5,6794329250
50,7587369387
50,7727154979
50,7992164651
50,7907344255
50,7679786787
50,7951248867
