topK,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime),avg(totalExecutionTime),avg(driverTotalMemory),avg(driverMemoryFree),avg(driverMemoryUsed),avg(totalSparkExecutorMemoryAllocated),avg(totalSparkExecutorMemoryFree),avg(totalSparkExecutorMemoryUsed),avg(totalRDDMemorySize),avg(totalRDDDiskSize),avg(totalMemoryUsed),avg(driverMemoryUsedMB),avg(totalSparkExecutorMemoryUsedMB),avg(totalRDDMemorySizeMB),avg(totalRDDDiskSizeMB),avg(totalMemoryUsedMB)
1,3416.1666666666665,6.833333333333333,69676.83333333333,16240.5,89415.66666666667,1.6759739733333333E9,1.0942794906666667E9,5.816944826666666E8,6.7413999612166664E10,6.1949570824E10,5.464428788166667E9,5.463040109333333E9,0.0,6.046127868166667E9,554.1666666666666,5210.833333333333,5209.333333333333,0.0,5765.833333333333
5,4643.833333333333,11.333333333333334,76385.83333333333,16002.166666666666,97141.83333333333,1.6847121066666667E9,1.1216731626666667E9,5.63038944E8,5.8628610454166664E10,5.2495094333333336E10,6.133516120833333E9,6.132163061333333E9,0.0,6.696569594166667E9,536.5,5848.833333333333,5847.333333333333,0.0,6385.833333333333
10,3058.5,7.0,67423.0,15465.166666666666,86065.0,1.678508032E9,1.056313236E9,6.22194796E8,5.9360726217333336E10,5.29416127875E10,6.419113429833333E9,6.417710090666667E9,0.0,7.041314039166667E9,592.6666666666666,6121.0,6120.0,0.0,6714.5
25,3473.3333333333335,10.0,78356.5,16827.833333333332,98800.83333333333,1.6678475093333333E9,1.1136130253333333E9,5.54234484E8,5.7896494691E10,5.1078891956833336E10,6.817602734166667E9,6.816323030666667E9,0.0,7.371840652833333E9,528.0,6501.166666666667,6500.0,0.0,7029.833333333333
50,3697.1666666666665,9.0,73355.5,17154.333333333332,94337.0,1.676935168E9,1.0356648506666666E9,6.412703173333334E8,6.5217652322666664E10,5.8051411152333336E10,7.166241170333333E9,7.164714709333333E9,0.0,7.807519214333333E9,611.0,6833.833333333333,6832.666666666667,0.0,7445.5
100,3191.0,5.714285714285714,89766.71428571429,20920.0,113980.14285714286,1.686334902857143E9,1.0923154057142856E9,5.940194971428572E8,5.8524022488E10,5.101271763971429E10,7.511304848285714E9,7.509927146285714E9,0.0,8.105333927142858E9,566.1428571428571,7163.0,7161.571428571428,0.0,7729.285714285715
