maxLength,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime),avg(totalExecutionTime),avg(driverTotalMemory),avg(driverMemoryFree),avg(driverMemoryUsed),avg(totalSparkExecutorMemoryAllocated),avg(totalSparkExecutorMemoryFree),avg(totalSparkExecutorMemoryUsed),avg(totalRDDMemorySize),avg(totalRDDDiskSize),avg(totalMemoryUsed),avg(driverMemoryUsedMB),avg(totalSparkExecutorMemoryUsedMB),avg(totalRDDMemorySizeMB),avg(totalRDDDiskSizeMB),avg(totalMemoryUsedMB)
1,1344.7,4.7,1588.3,630.8,3577.4,1.6572219392E9,1.0188849216E9,6.383370176E8,1.12945790971E11,1.121267643697E11,8.190266013E8,8.174313808E8,0.0,1.4573690573E9,608.2,780.4,779.4,0.0,1389.3
2,2279.0,5.9,3027.6,954.7,6299.1,1.6576413696E9,1.0549743208E9,6.026670488E8,1.1743285739E11,1.165561101777E11,8.767472123E8,8.7517088E8,0.0,1.4794188907E9,574.2,835.5,834.4,0.0,1410.3
3,1307.0,4.9,12148.9,2923.6,16421.4,1.6618881024E9,1.0872332336E9,5.746548688E8,1.165354441062E11,1.149694978343E11,1.5659462719E9,1.564294196E9,0.0,2.1406046319E9,547.5,1492.8,1491.2,0.0,2041.1
4,1367.3,5.0,64704.0,16530.7,82654.8,1.668022272E9,1.0593338352E9,6.086884368E8,1.192276839576E11,1.128159622509E11,6.4117217067E9,6.4103014176E9,0.0,7.0204144931E9,580.0,6114.3,6112.8,0.0,6694.7
5,1379.6,5.1,311914.7,162310.9,476176.4,1.6579559424E9,1.0313736064E9,6.26582336E8,1.120483776872E11,7.89365219519E10,3.31118557353E10,3.31106108808E10,0.0,3.37384449961E10,597.1,31577.4,31576.0,0.0,32175.1
