topK,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime)
1,5751.1,11.8,8069.7,1833.6
5,5203.2,8.2,7024.9,1781.8
10,5106.9,9.0,9751.3,2597.0
25,4739.1,8.7,10741.9,3009.7
50,5063.4,9.2,17486.2,4946.0
100,4835.9,9.1,20334.5,6724.7
