_1,_2
0.003,331526095
0.003,511154242
0.003,373856142
0.003,632386218
0.003,327795652
0.003,601391234
0.003,663912042
0.003,753252678
0.003,484936818
0.003,326482962
0.1,392028257
0.1,546957982
0.1,756363230
0.1,786832222
0.1,460477584
0.1,475379266
0.1,708302088
0.1,467366732
0.1,832228976
0.1,719570904
0.3,621182996
0.3,729330975
0.3,854130192
0.3,1036394487
0.3,1088399368
0.3,1024347209
0.3,826475539
0.3,1085854211
0.3,795931483
0.3,862031716
1,1918512979
1,2037213174
1,2112903788
1,2240554265
1,2131035438
1,2260324838
1,2013564540
1,2318392252
1,1926954739
1,1985459045
3,5408502984
3,5243560428
3,5474107840
3,4968212152
3,5232531238
3,5405941326
3,5474343505
3,5370223840
3,5554544607
3,5480812260
