topK,avg(subgraphPhaseTime),avg(weightMapPhaseTime),avg(pregelPhaseTime),avg(pathConstructionPhaseTime)
1,3416.1666666666665,6.833333333333333,69676.83333333333,16240.5
5,4643.833333333333,11.333333333333334,76385.83333333333,16002.166666666666
10,3058.5,7.0,67423.0,15465.166666666666
25,3473.3333333333335,10.0,78356.5,16827.833333333332
50,3697.1666666666665,9.0,73355.5,17154.333333333332
100,3191.0,5.714285714285714,89766.71428571429,20920.0
