runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
7,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1301,5,12072,2709,16095,1700790272,1163082616,537707656,126406990228,124835873538,1571116690,1569388760,0,2108830178,512,1498,1496,0,2011
7,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1164,5,2842,841,4858,1705508864,1155225016,550283848,126406990228,125545436874,861553354,860058008,0,1411841786,524,821,820,0,1346
7,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1444,4,1785,521,3761,1704984576,1242058328,462926248,126406990228,125594638936,812351292,810725136,0,1275277540,441,774,773,0,1216
8,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1377,5,291626,154048,447380,1707081728,880369936,826711792,108458724552,75378968116,33079756436,33078346952,0,33906474028,788,31547,31545,0,32335
8,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1214,5,55791,17768,74928,1706033152,1104182256,601850896,144355255904,137950033466,6405222438,6403483760,0,7007081030,573,6108,6106,0,6682
8,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1669,5,11023,2997,15704,1707606016,985837496,721768520,144355255904,142783661604,1571594300,1569322448,0,2293362820,688,1498,1496,0,2187
8,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1181,4,1587,530,3309,1706557440,1094462592,612094848,126406990228,125594435854,812554374,810725136,0,1424652382,583,774,773,0,1358
8,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2872,4,2528,758,6172,1707606016,1030459184,677146832,144355255904,143493210652,862045252,860058008,0,1539196988,645,822,820,0,1467
9,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1135,4,315919,155062,474537,1708130304,1062812408,645317896,99484591714,66330927693,33153664021,33152495248,0,33798991789,615,31617,31616,0,32233
9,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1250,5,71178,15608,88125,1699217408,1079264968,619952440,99484591714,93079641647,6404950067,6403444112,0,7024907299,591,6108,6106,0,6699
9,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1157,5,11833,2654,15655,1707081728,918102848,788978880,99484591714,97930232197,1554359517,1552511480,0,2343338397,752,1482,1480,0,2234
9,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1382,4,2650,1447,5489,1706557440,1175227576,531329864,108458724552,107596963435,861761117,860058008,0,1393097789,506,821,820,0,1328
9,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1213,4,1511,977,3712,1706557440,1042123320,664434120,99484591714,98672280714,812311000,810725136,0,1476749712,633,774,773,0,1408
10,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1148,5,307492,162069,470956,1707081728,1004340936,702740792,99484591714,66483587208,33001004506,32999502392,0,33703750458,670,31472,31470,0,32142
10,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1227,5,11362,3053,15654,1708654592,1127305224,581349368,99484591714,97897126986,1587464728,1586078416,0,2168818760,554,1513,1512,0,2069
10,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1168,5,65694,17062,83936,1706557440,873832744,832724696,99484591714,93079948331,6404643383,6403537040,0,7237371151,794,6107,6106,0,6902
10,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1199,5,2569,867,4645,1706557440,1042541112,664016328,99484591714,98589190112,895401602,893759624,0,1559422146,633,853,852,0,1487
10,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1247,5,1767,783,3809,1706557440,1036778920,669778520,99484591714,98672152680,812439034,810725136,0,1482220330,638,774,773,0,1413
