_1,_2,_3,_4
1,1.176677456E9,1088377.2999999523,4.667095216E8
5,1.376593048E9,1402292.2000000477,5.187819872E8
10,1.569659936E9,1491264.2000000477,7.30132088E8
25,2.002378488E9,1317070.0999999046,6.426656464E8
50,2.514129336E9,1155187.5,6.606235656E8
100,3.156211168E9,1412690.0999999046,6.815789528E8
