runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,10034,17,18249,3628,32007,1577582592,1232429448,345153144,79825993724,78254537137,1571456587,1569659936,0,1916609731,329,1498,1496,0,1827
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4414,9,12904,3250,20599,1586495488,1177815512,408679976,79825993724,78254328486,1571665238,1569659936,0,1980345214,389,1498,1496,0,1888
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4279,9,13671,3532,21513,1595932672,1229592824,366339848,79825993724,78254372606,1571621118,1569659936,0,1937960966,349,1498,1496,0,1848
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4298,7,13796,2950,21069,1603796992,1251019096,352777896,79825993724,78237664006,1588329718,1586660864,0,1941107614,336,1514,1513,0,1851
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4173,7,12878,3002,20073,1619525632,1291274464,328251168,79825993724,78254437934,1571555790,1569659936,0,1899806958,313,1498,1496,0,1811
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,3790,9,11562,2788,18177,1616904192,1306983912,309920280,79825993724,78238065893,1587927831,1586357728,0,1897848111,295,1514,1512,0,1809
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4201,5,13531,3324,21072,1622671360,1126378248,496293112,79825993724,78254502093,1571491631,1569659936,0,2067784743,473,1498,1496,0,1972
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,3768,6,13039,2952,19864,1625817088,1046877360,578939728,79825993724,78254414329,1571579395,1569659936,0,2150519123,552,1498,1496,0,2050
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4431,10,14905,2940,22302,1627389952,1163577208,463812744,79825993724,78254653237,1571340487,1569659936,0,2035153231,442,1498,1496,0,1940
