_1,_2
10,2486309446
10,2595036312
10,2308552193
10,2417085823
10,2598215115
10,2613663329
10,2347271199
10,2540743220
10,2215749784
10,2438884502
12,2519387153
12,2303468201
12,2509656638
12,2569411445
12,2403066308
12,2581567364
12,2634156096
12,2523342165
12,2635195696
12,2623373347
2,1452012634
2,1471359890
2,1440273732
2,1430577426
2,1163627537
2,1161473157
2,1600550696
2,1587241628
2,1586277211
2,1604453058
4,1948313062
4,2214656233
4,2103728440
4,2153281061
4,2297672279
4,2136757491
4,2097403636
4,2042074197
4,2009922009
4,2029612889
6,2549911102
6,2597326916
6,2307678909
6,2320733475
6,2546456004
6,2590951327
6,2492333318
6,2624911962
6,2458916890
6,2615186294
8,2415992625
8,2594885671
8,2535639541
8,2642720204
8,2368019770
8,2245874914
8,2535460156
8,2531413012
8,2481276691
8,2517567535
