runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
5,city-num-interaction,Continuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2049,5,104232,21244,127643,1704984576,1201289656,503694920,57896494691,50390152803,7506341888,7505183200,0,8010096424,480,7158,7157,0,7639
5,city-num-interaction,Continuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2055,12,85202,17083,104449,1700790272,1167382928,533407344,49111105533,41964726090,7146379443,7145047248,0,7679793987,508,6815,6814,0,7324
5,city-num-interaction,Continuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2055,9,92853,17861,112875,1703936000,1183060544,520875456,49111105533,42310555636,6800549897,6799401872,0,7321425353,496,6485,6484,0,6982
5,city-num-interaction,Continuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1953,13,82093,13960,98284,1706033152,1163593296,542439856,53503800112,47384589130,6119210982,6118108752,0,6661653814,517,5835,5834,0,6353
5,city-num-interaction,Continuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1929,4,88754,23931,114646,1704984576,1174918056,530066520,53503800112,48045203920,5458596192,5457537424,0,5988662712,505,5205,5204,0,5712
5,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1910,5,79765,14714,96498,1702887424,909763664,793123760,53503800112,47099348764,6404451348,6403654352,0,7197583076,756,6107,6107,0,6864
6,city-num-interaction,Continuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1899,9,100082,19613,121758,1706557440,1107782608,598774832,57896494691,50390120225,7506374466,7505070880,0,8105156754,571,7158,7157,0,7729
6,city-num-interaction,Continuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1600,12,86403,15247,103303,1705508864,1030423984,675084880,57896494691,51777250321,6119244370,6118134096,0,6794337378,643,5835,5834,0,6479
6,city-num-interaction,Continuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2264,10,92945,15822,111185,1706033152,900838768,805194384,66681883849,59535829366,7146054483,7145044128,0,7951248867,767,6815,6814,0,7582
6,city-num-interaction,Continuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2197,6,90838,17430,110541,1699741696,1209764496,489977200,62289189270,55488508699,6800680571,6799506704,0,7290662803,467,6485,6484,0,6952
6,city-num-interaction,Continuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1705,5,81407,17025,100233,1706557440,1223449520,483107920,62289189270,56830549160,5458640110,5457429640,0,5941758414,460,5205,5204,0,5666
6,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1513,8,81220,15710,98571,1706557440,979399720,727157720,62289189270,55884495312,6404693958,6403687904,0,7131858990,693,6107,6107,0,6801
7,city-num-interaction,Continuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1652,4,100324,19140,121268,1705508864,941712256,763796608,49111105533,41604909717,7506195816,7505025064,0,8269992424,728,7158,7157,0,7886
