_1,_2
0.003,368951137
0.003,468228849
0.003,600177993
0.003,553368269
0.003,728366617
0.003,686626369
0.003,508354699
0.003,421421291
0.003,691264606
0.003,358521271
0.1,577351322
0.1,715371695
0.1,695086428
0.1,757188382
0.1,687543213
0.1,686266271
0.1,687731186
0.1,803997776
0.1,544278288
0.1,6281571890
0.3,931025151
0.3,1056763686
0.3,1234527963
0.3,1254327281
0.3,955045206
0.3,967399632
0.3,1125346843
0.3,878782058
0.3,1033931165
0.3,1020969304
1,6864102053
1,7032477640
1,7149749885
1,6772558439
1,6811423342
1,7008193889
1,7024940663
1,6928773362
1,7024066041
1,6973602241
3,13282784927
3,14226629583
3,14927464699
3,14541625575
3,14334191820
3,14761289046
3,14081199322
3,13207170905
3,13987114758
3,14887466871
