_1,_2
1,1502760314
1,1609623018
1,1551817840
1,1562047653
1,1533550379
1,1543778891
1,1689625801
1,1775406647
1,1736773092
1,1803280820
10,2046083914
10,2203702140
10,2144973010
10,2186100254
10,2159923416
10,2091864402
10,2157817476
10,2158688814
10,2249804902
10,1989779184
100,3820941068
100,3672685359
100,3679225509
100,3735059430
100,3778406301
100,3674142520
100,3723535896
100,3713597135
100,3864636384
100,3702012786
25,2729979422
25,2699495928
25,2586500965
25,2567643337
25,2619461979
25,2596129409
25,2569241968
25,2452973627
25,2589517648
25,2636616710
5,2078605976
5,2046165791
5,2094450968
5,2160213553
5,2140425756
5,2140475710
5,1797970875
5,1875967654
5,1834291914
5,2100715065
50,3074480787
50,3061584754
50,3172314882
50,3128536962
50,3132693220
50,3044457729
50,3040488914
50,3113968337
50,3112565114
50,3150700564
